epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0963,2.22006,5.0888,1.76949,0.06912,0.20272,0.03024,0.01597,1.70424,4.65609,1.50501,6.672e-05,6.672e-05,6.672e-05
2,22.6189,1.46951,2.95129,1.27297,0.21189,0.56223,0.25143,0.16237,1.27196,4.10803,1.22624,0.000134871,0.000134871,0.000134871
3,31.3831,1.37993,2.17228,1.22536,0.26043,0.62551,0.36181,0.22754,1.28946,2.27267,1.24544,0.000201647,0.000201647,0.000201647
4,40.5582,1.32283,1.92818,1.19284,0.31608,0.72392,0.41877,0.27866,1.14007,1.71793,1.18719,0.000267046,0.000267046,0.000267046
5,49.9741,1.26382,1.7571,1.16444,0.34809,0.71928,0.42868,0.28268,1.14467,1.54179,1.17428,0.000266991,0.000266991,0.000266991
6,58.2493,1.25134,1.67166,1.17128,0.36572,0.76831,0.44949,0.28031,1.23358,1.53305,1.21923,0.000264239,0.000264239,0.000264239
7,67.2684,1.25489,1.59634,1.15888,0.40755,0.77765,0.49907,0.32226,1.15995,1.40952,1.17378,0.000261487,0.000261487,0.000261487
8,76.0292,1.22558,1.52748,1.15739,0.42789,0.81688,0.52594,0.35394,1.0907,1.35243,1.1442,0.000258735,0.000258735,0.000258735
9,84.7853,1.19965,1.48097,1.13667,0.43416,0.82477,0.51534,0.34886,1.10855,1.32191,1.14015,0.000255982,0.000255982,0.000255982
10,93.971,1.19616,1.43802,1.1383,0.46051,0.87243,0.55426,0.36821,1.10974,1.29196,1.13837,0.00025323,0.00025323,0.00025323
11,102.316,1.19435,1.42607,1.13391,0.5009,0.84786,0.64381,0.42068,1.13685,1.21729,1.16543,0.000250478,0.000250478,0.000250478
12,111.612,1.16389,1.36831,1.1192,0.43523,0.86393,0.48679,0.3146,1.14645,1.32252,1.16616,0.000247726,0.000247726,0.000247726
13,121.023,1.16104,1.34239,1.12221,0.45033,0.86357,0.56176,0.37813,1.12794,1.26121,1.14164,0.000244974,0.000244974,0.000244974
14,129.257,1.16865,1.32395,1.12353,0.53698,0.83771,0.69913,0.47816,1.09314,1.10715,1.12685,0.000242221,0.000242221,0.000242221
15,138.518,1.15933,1.29438,1.11178,0.48655,0.86206,0.57511,0.38168,1.10665,1.1987,1.13861,0.000239469,0.000239469,0.000239469
16,147.146,1.14334,1.2712,1.11074,0.4739,0.86192,0.58822,0.39816,1.1129,1.19661,1.13158,0.000236717,0.000236717,0.000236717
